Year,District,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2010,Pacific,416,272,0,18,3,5,-23,35,47,59
2010,Rocky Mountain,265,156,9,-39,-25,51,23,8,47,35
2010,Southeastern,262,129,-20,-19,-28,8,36,32,60,64
2011,Atlantic,185,24,8,2,8,42,83,4,28,-14
2011,Central,160,0,-21,23,-32,10,33,52,6,89
2011,Massachusetts,462,-59,-4,53,-46,102,86,98,114,118
2011,Michigan,-263,-43,-2,-45,-29,-38,27,-73,-2,-58
2011,Mid-American,40,-4,5,7,-49,15,34,29,23,-20
2011,Minnesota,124,28,0,14,23,51,-4,-38,53,-3
2011,New England,-69,-41,8,-46,-55,14,-2,-8,56,5
2011,New York,-57,-80,12,-37,-38,15,-14,55,30,0
2011,Northern Plains,206,41,10,-12,-12,32,13,31,43,60
2011,Pacific,-57,-109,6,3,0,-1,37,16,22,-31
2011,Rocky Mountain,196,79,-11,9,-9,3,16,42,26,41
2011,Southeastern,156,49,-1,15,-62,24,61,47,16,7
2012,Atlantic,-72,3,-24,-20,-12,0,28,-29,-5,-13
2012,Central,-141,32,13,3,-41,1,-24,24,-48,-101
2012,Massachusetts,-102,9,-16,-4,93,-5,103,-23,-69,-190
2012,Michigan,28,12,-6,4,19,21,-20,-16,14,0
2012,Mid-American,-60,-13,3,9,-27,12,7,-4,0,-47
2012,Minnesota,-339,103,14,-19,-26,13,-138,-67,-98,-121
2012,New England,-253,-53,-17,17,-9,-34,-18,13,-29,-123
2012,New York,-68,5,-3,5,-12,58,4,-3,-86,-36
2012,Northern Plains,10,49,-22,15,-23,-12,40,-25,-8,-4
2012,Pacific,78,150,3,-8,-20,0,-13,-19,-42,27
2012,Rocky Mountain,-58,-15,22,-24,30,-4,-35,26,-35,-23
2012,Southeastern,-15,-16,-12,-23,10,36,9,0,-31,12
2013,Atlantic,219,28,8,10,-7,70,-19,20,33,76
2013,Central,149,90,18,-31,-25,41,26,-40,-24,94
2013,Massachusetts,354,121,18,-1,101,103,-1,36,-34,11
2013,Michigan,-35,-1,-6,11,-32,29,-50,11,-32,35
2013,Mid-American,71,-26,-15,-15,7,7,20,13,24,56
2013,Minnesota,203,168,-14,15,-36,26,-45,-18,-18,125
2013,New England,102,41,-8,-39,6,6,-13,24,10,75
2013,New York,-65,44,-6,-15,21,-19,-42,-12,-55,19
2013,Northern Plains,123,5,17,-3,53,-4,-7,-20,32,50
2013,Pacific,145,72,-4,-20,28,9,-2,-5,11,56
2013,Rocky Mountain,96,91,-20,-22,-16,-21,50,-23,33,24
2013,Southeastern,168,55,23,-12,29,11,25,-3,31,9
2014,Atlantic,124,1,1,5,78,46,-11,41,3,-40
2014,Central,208,66,-11,-11,12,19,106,38,24,-35
2014,Massachusetts,494,126,-8,23,-7,69,57,49,67,118
2014,Michigan,181,101,19,9,36,-4,5,11,-2,6
2014,Mid-American,55,-18,17,-15,14,22,0,35,14,-14
2014,Minnesota,247,36,-13,28,68,-44,-3,-3,99,79
2014,New England,-34,-106,1,57,-16,-7,-7,16,11,17
2014,New York,-5,-34,-7,-19,50,-10,36,-63,35,7
2014,Northern Plains,135,0,3,-7,-39,56,10,57,47,8
2014,Pacific,388,61,-8,22,24,14,86,67,54,68
2014,Rocky Mountain,347,74,2,40,21,19,59,15,55,62
2014,Southeastern,374,131,-6,21,45,18,52,50,41,22
2015,Atlantic,143,-7,-16,-18,57,-49,49,69,30,28
2015,Central,460,18,7,0,22,37,-13,80,137,172
2015,Massachusetts,217,81,10,65,6,30,17,-34,23,19
2015,Michigan,190,63,-7,-7,27,-28,17,17,45,63
2015,Mid-American,150,50,-13,-7,3,7,29,4,-7,84
2015,Minnesota,546,32,-1,13,-11,43,-33,104,109,290
2015,New England,80,-44,18,-17,11,-6,64,-42,38,58
2015,New York,327,-30,-7,38,9,8,15,56,61,177
2015,Northern Plains,201,25,-15,16,5,22,-22,40,57,73
2015,Pacific,511,111,-5,16,27,19,51,72,159,61
2015,Rocky Mountain,226,-19,4,-15,16,78,16,87,23,36
2015,Southeastern,281,21,-12,39,20,77,16,-9,51,78
2016,Atlantic,171,-7,2,26,-45,-10,25,-19,84,115
2016,Central,525,59,-10,19,4,13,47,81,92,220
2016,Massachusetts,166,-52,4,-23,75,0,-23,51,60,74
2016,Michigan,121,-40,-7,15,-48,-9,33,-9,62,124
2016,Mid-American,30,-15,12,12,6,-9,-8,-3,45,-10
2016,Minnesota,226,15,-7,16,9,-36,31,52,58,88
2016,New England,-36,-154,-21,-10,-29,14,21,14,64,65
2016,New York,195,20,5,7,-24,48,-36,2,66,107
2016,Northern Plains,121,3,9,-28,38,-10,21,15,13,60
2016,Pacific,415,-29,12,15,17,59,19,119,91,112
2016,Rocky Mountain,360,18,-16,18,20,35,-4,10,152,127
2016,Southeastern,462,-98,2,9,21,39,8,48,207,226
2017,Atlantic,247,-1,11,35,-26,43,33,37,80,35
2017,Central,641,113,2,-27,70,41,-8,65,213,172
2017,Massachusetts,162,-64,-7,61,0,15,-28,31,116,38
2017,Michigan,-64,-45,-16,-15,-12,4,-19,-5,28,16
2017,Mid-American,189,4,-3,2,27,44,18,29,87,-19
2017,Minnesota,303,-38,11,-11,-50,-58,43,39,213,154
2017,New England,132,-6,5,7,19,53,-74,49,-44,123
2017,New York,131,-20,5,1,25,-12,1,36,58,37
2017,Northern Plains,57,29,1,14,-1,-16,1,30,-9,8
2017,Pacific,648,116,-8,17,18,50,89,124,106,136
2017,Rocky Mountain,505,102,15,16,29,-36,89,128,93,69
2017,Southeastern,572,105,21,-1,51,-23,44,189,80,106
2018,Atlantic,123,13,1,-15,31,17,-10,72,12,2
2018,Central,348,15,14,43,81,34,94,99,19,-51
2018,Massachusetts,512,33,15,53,26,-8,72,77,70,174
2018,Michigan,225,62,41,4,-37,0,-3,42,28,89
2018,Mid-American,278,47,6,0,-17,-4,49,133,42,22
2018,Minnesota,340,23,4,-5,39,28,57,96,49,49
2018,New England,50,-37,-3,-33,32,-29,21,8,70,21
2018,New York,422,133,34,11,24,-35,-1,70,50,135
2018,Northern Plains,130,32,-5,9,-5,-9,49,-2,35,26
2018,Pacific,480,120,7,10,28,56,79,74,81,25
2018,Rocky Mountain,247,71,26,-22,12,44,61,85,16,-46
2018,Southeastern,298,96,-2,30,30,44,67,84,29,-80
2019,Atlantic,150,-9,20,-5,33,60,10,30,27,-16
2019,Central,315,92,-10,28,10,-20,46,65,27,77
2019,Massachusetts,-213,-35,34,8,61,-42,-68,-2,-97,-72
2019,Michigan,137,-16,3,4,34,29,5,80,35,-38
2019,Mid-American,-35,-32,6,1,19,52,13,2,-57,-39
2019,Minnesota,169,2,3,30,32,-35,33,34,-63,133
2019,New England,76,-55,18,-1,43,-53,30,-1,40,55
2019,New York,-66,-174,-16,10,-15,-17,33,38,20,56
2019,Northern Plains,94,-14,0,-4,-17,19,51,0,-9,68
2019,Pacific,191,1,-2,-1,45,32,83,11,31,-9
2019,Rocky Mountain,131,14,-19,37,-8,74,8,11,25,-11
2019,Southeastern,345,105,-4,43,3,35,95,56,18,-6
2020,Atlantic,-778,-423,-45,0,-6,-52,-13,-68,-82,-89
2020,Central,-1418,-1051,-30,29,-3,61,12,-38,-84,-314
2020,Massachusetts,-1530,-594,-63,-14,20,5,14,-188,-230,-480
2020,Michigan,-1276,-718,-49,-46,-31,-64,4,-50,-136,-186
2020,Mid-American,-441,-240,-29,-20,1,-9,-6,-42,-80,-16
2020,Minnesota,-154,-629,-43,126,375,258,-16,-27,23,-221
2020,New England,-1277,-442,-45,79,34,-15,-84,-79,-217,-508
2020,New York,-1032,-525,-13,41,-18,-4,-30,-127,-73,-283
2020,Northern Plains,-112,-210,26,-7,2,43,-33,49,47,-29
2020,Pacific,-3107,-1823,-25,-19,-65,-42,-180,-249,-354,-350
2020,Rocky Mountain,-1297,-1070,-25,22,34,20,-40,-79,-134,-25
2020,Southeastern,-1282,-532,-11,-22,-8,16,-71,-182,-240,-232
2021,Atlantic,973,460,25,52,98,27,61,73,68,109
2021,Central,2115,934,41,36,5,152,144,182,179,442
2021,Massachusetts,1828,389,52,93,-14,53,139,158,323,635
2021,Michigan,1142,393,29,85,39,59,99,86,139,213
2021,Mid-American,718,219,23,60,28,27,106,56,138,61
2021,Minnesota,1139,562,48,-120,-285,-12,122,143,354,327
2021,New England,1184,336,41,7,-71,66,9,112,206,478
2021,New York,1274,423,18,-15,-16,67,58,186,211,342
2021,Northern Plains,453,198,-17,19,18,61,60,10,69,35
2021,Pacific,3226,1726,27,55,119,167,178,319,345,290
2021,Rocky Mountain,2005,1026,49,-18,92,49,140,246,241,180
2021,Southeastern,1516,589,16,45,88,117,88,194,223,156
2022,Atlantic,193,13,16,59,-2,21,20,29,46,-9
2022,Central,325,96,2,-8,70,53,49,41,73,-51
2022,Massachusetts,-8,34,2,-36,-36,20,-74,41,85,-44
2022,Michigan,90,-6,15,19,10,37,27,-19,58,-51
2022,Mid-American,410,71,23,8,10,72,14,91,91,30
2022,Minnesota,-22,145,-12,-42,1,21,73,50,-141,-117
2022,New England,121,36,19,7,42,25,20,-20,68,-76
2022,New York,348,125,38,0,27,13,7,57,120,-39
2022,Northern Plains,29,-2,8,3,38,-20,31,34,-9,-54
2022,Pacific,741,393,19,25,44,5,105,40,72,38
2022,Rocky Mountain,595,261,-13,53,37,36,102,-17,105,31
2022,Southeastern,461,188,29,35,74,20,69,8,62,-24
